# State population (millions): Census 2011 (official) and 2024 projections
# (MoHFW/NCP "Population Projections for India and States 2011-2036" based,
# rounded — quality: approximate). Used for per-capita KPIs; AP/TS are
# post-bifurcation figures (note the AP caveat in docs/data-dictionary.md).
state_code,census_2011_mn,proj_2024_mn,source,quality
ALL,1210.9,1428.0,Census 2011 / NCP projections,approximate
AN,0.38,0.40,Census 2011 / NCP projections,approximate
AP,49.4,53.2,Census 2011 (residual AP) / NCP projections,approximate
AR,1.38,1.60,Census 2011 / NCP projections,approximate
AS,31.2,36.1,Census 2011 / NCP projections,approximate
BR,104.1,127.1,Census 2011 / NCP projections,approximate
CH,1.06,1.23,Census 2011 / NCP projections,approximate
CG,25.5,30.2,Census 2011 / NCP projections,approximate
DN,0.59,1.00,Census 2011 (merged UT) / NCP projections,approximate
DL,16.8,21.0,Census 2011 / NCP projections,approximate
GA,1.46,1.60,Census 2011 / NCP projections,approximate
GJ,60.4,72.0,Census 2011 / NCP projections,approximate
HR,25.4,30.2,Census 2011 / NCP projections,approximate
HP,6.9,7.5,Census 2011 / NCP projections,approximate
JK,12.3,13.6,Census 2011 (excl Ladakh) / NCP projections,approximate
JH,33.0,40.1,Census 2011 / NCP projections,approximate
KA,61.1,68.1,Census 2011 / NCP projections,approximate
KL,33.4,35.8,Census 2011 / NCP projections,approximate
LA,0.27,0.30,Census 2011 (Leh+Kargil) / NCP projections,approximate
LD,0.06,0.07,Census 2011 / NCP projections,approximate
MP,72.6,87.0,Census 2011 / NCP projections,approximate
MH,112.4,126.4,Census 2011 / NCP projections,approximate
MN,2.86,3.30,Census 2011 / NCP projections,approximate
ML,3.0,3.40,Census 2011 / NCP projections,approximate
MZ,1.10,1.25,Census 2011 / NCP projections,approximate
NL,1.98,2.20,Census 2011 / NCP projections,approximate
OD,42.0,47.1,Census 2011 / NCP projections,approximate
PY,1.25,1.65,Census 2011 / NCP projections,approximate
PB,27.7,31.0,Census 2011 / NCP projections,approximate
RJ,68.5,82.0,Census 2011 / NCP projections,approximate
SK,0.61,0.70,Census 2011 / NCP projections,approximate
TN,72.1,77.0,Census 2011 / NCP projections,approximate
TS,35.2,38.2,Census 2011 (recalc) / NCP projections,approximate
TR,3.67,4.10,Census 2011 / NCP projections,approximate
UP,199.8,235.7,Census 2011 / NCP projections,approximate
UK,10.1,11.7,Census 2011 / NCP projections,approximate
WB,91.3,99.1,Census 2011 / NCP projections,approximate
