# City -> state mapping for city-grain sources (wholesale data). Keys are UPPERCASE
# city names as they appear in the source; covers the top ~250 cities (~94% of
# wholesale volume). Non-geographic buckets (OTHERS, NCR) are intentionally absent —
# unmapped cities get NULL state and are reported at ingest.
# Ambiguous calls: NAGROTA -> HP (Nagrota Bagwan, Kangra auto hub), HAMIRPUR -> HP.
city,state_code
PUNE,MH
DELHI,DL
BANGALORE,KA
HYDERABAD,TS
MUMBAI,MH
CHENNAI,TN
AHMEDABAD,GJ
JAIPUR,RJ
LUCKNOW,UP
GURGAON,HR
NAGPUR,MH
KOLKATA,WB
INDORE,MP
SURAT,GJ
NOIDA,UP
COCHIN,KL
NASIK,MH
COIMBATORE,TN
GUWAHATI,AS
BHUBANESHWAR,OD
BHOPAL,MP
LUDHIANA,PB
FARIDABAD,HR
VADODARA,GJ
THANE,MH
PATNA,BR
KANPUR,UP
AURANGABAD,MH
RAIPUR,CG
DEHRADUN,UK
JALLANDHAR,PB
TRIVANDRUM,KL
JAMMU,JK
GHAZIABAD,UP
KOLHAPUR,MH
CALICUT,KL
CHANDIGARH,CH
RAJKOT,GJ
RANCHI,JH
GOA,GA
GWALIOR,MP
GORAKHPUR,UP
AGRA,UP
MADURAI,TN
MEERUT,UP
UDAIPUR,RJ
SRINAGAR,JK
VISHAKHAPATNAM,AP
JODHPUR,RJ
MANGALORE,KA
JABALPUR,MP
MYSORE,KA
AMRITSAR,PB
KARNAL,HR
VIJAYAWADA,AP
VARANASI,UP
KOTA,RJ
AHMEDNAGAR,MH
ALLAHABAD,UP
THRISSUR,KL
BAREILLY,UP
TRICHY,TN
HISSAR,HR
SALEM,TN
KOTTAYAM,KL
AMBALA,HR
MUZAFFARPUR,BR
SHOLAPUR,MH
HUBLI,KA
SANGLI,MH
AMRAVATI,MH
BARAMATI,MH
QUILON,KL
JALGAON,MH
MALAPPURAM,KL
DHANBAD,JH
SHILLONG,ML
KANNUR,KL
TIRUNELVELI,TN
JAMSHEDPUR,JH
SILIGURI,WB
AJMER,RJ
SATARA,MH
BILASPUR-CG,CG
VAPI,GJ
VELLORE,TN
ALWAR,RJ
MORADABAD,UP
GANDHI NAGAR,GJ
CUTTACK,OD
SATNA,MP
PATIALA,PB
HALDWANI,UK
SONEPAT,HR
ROHTAK,HR
PANCHKULA,HR
MANDI,HP
MEHSANA,GJ
SECUNDERABAD,TS
LATUR,MH
PONDICHERRY,PY
SHIMOGA,KA
MOHALI,PB
NAGROTA,HP
ANAND,GJ
JHANSI,UP
REWARI,HR
ALIGARH,UP
PALAKKAD,KL
JORHAT,AS
ERODE,TN
RAJAHMUNDRY,AP
SOLAN,HP
BIKANER,RJ
ITANAGAR,AR
ETAWAH,UP
KARIMNAGAR,TS
CHANDRAPUR,MH
KHARAGPUR,WB
NAGOAN,AS
PANVEL,MH
PATHANKOT,PB
BHILWARA,RJ
MANESAR,HR
MUVATTAPUZAH,KL
CHHINDWARA,MP
AZAMGARH,UP
SAMBHALPUR,OD
SIKAR,RJ
SHIMLA,HP
UJJAIN,MP
PANIPAT,HR
HIMATNAGAR,GJ
BHILAI,CG
WARRANGAL,TS
BELGAUM,KA
GODHRA,GJ
DIBRUGARH,AS
THANJAVUR,TN
NANDED,MH
TUMKUR,KA
PALANPUR,GJ
KAITHAL,HR
ASANSOL,WB
GUNTUR,AP
JAMNAGAR,GJ
BHAVNAGAR,GJ
KHARGONE,MP
GREATER NOIDA,UP
BHIWANI,HR
KURNOOL,AP
PURNEA,BR
FAIZABAD,UP
KASARGOD,KL
SAGAR,MP
TIRUPATI,AP
SOHNA,HR
ZIRAKPUR,PB
DHULE,MH
AKOLA,MH
MUZZAFARNAGAR,UP
RUDRAPUR,UK
HOSUR,TN
GANDHIDHAM,GJ
BHARUCH,GJ
SRI GANGANAGAR,RJ
NELLORE,AP
ROORKEE,UK
TEZPUR,AS
VASAI,MH
SIRSA,HR
BALASORE,OD
IMPHAL,MN
HOSHIARPUR,PB
GULBARGA,KA
GAYA,BR
BHATINDA,PB
RATLAM,MP
KURUKSHETRA,HR
DIMAPUR,NL
AGARTALA,TR
NIZAMABAD,TS
CUDDALORE,TN
TINSUKIA,AS
ROURKELA,OD
KHARGHAR,MH
HAZARIBAGH,JH
MATHURA,UP
BHUJ,GJ
SHAHJAHANPUR,UP
HOWRAH,WB
JAUNPUR,UP
ALLEPEY,KL
BHARATPUR,RJ
TIRUPUR,TN
HAMIRPUR,HP
YAVATMAL,MH
UDUPI,KA
THALASSERY,KL
PERINTHALMANA,KL
KORBA,CG
BONGAIGAON,AS
BELLARY,KA
JUNAGARH,GJ
PALWAL,HR
BULANDSHAHR,UP
HARDWAR,UK
NAGERCOIL,TN
JHUNJHUNUN,RJ
ANANTHAPUR,AP
JEYPORE,OD
BHIWADI,RJ
NORTH LAKHIMPUR,AS
AMBIKAPUR,CG
BAHADURGARH,HR
HARDOI,UP
BIJAPUR,KA
SURENDERNAGAR,GJ
SILCHAR,AS
HAJIPUR,BR
BOKARO,JH
NAVSARI,GJ
BEGUSARAI,BR
AIZWAL,MZ
NAGAUR,RJ
DAVANGERE,KA
YAMUNANAGAR,HR
BARDDHAMAN,WB
BEED,MH
KOTHAGUDEM,TS
BIJNOR,UP
DURGAPUR,WB
NARNAUL,HR
GANGTOK,SK
MORBI,GJ
CHITTORGARH,RJ
MAHBUBNAGAR,TS
RAIGARH,CG
KHAMMAM,TS
RATNAGIRI,MH
DARBHANGA,BR
ANGUL,OD
MIRZAPUR,UP
DEWAS,MP
ROOPNAGAR,PB
BHAGALPUR,BR
