# Broad personal-loan credit depth; not vehicle-finance penetration.
# Loan stocks are official RBI data; per-capita values use estimated population.
state_code,year,personal_loans_outstanding_crore,personal_loans_per_capita_inr,personal_loans_yoy_growth_pct,population_mn,source,quality,geography_note
ALL,2012,750151,6116.9,,1226.3587,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2013,871291,7015.14,16.149,1242.0147,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2014,1017100,8085.89,16.735,1257.8706,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2015,1143986,8979.98,12.475,1273.9289,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2016,1339138,10379.37,17.059,1290.1922,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2017,1561924,11953.53,16.637,1306.6631,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2018,1864885,14092.21,19.397,1323.3443,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2019,2136648,15942.3,14.573,1340.2385,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2020,2530090,18639.95,18.414,1357.3483,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2021,2873641,20904.12,13.579,1374.6766,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2022,3345818,24032.15,16.431,1392.2261,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2023,4000056,28369.2,19.554,1409.9996,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2024,5144286,36024.41,28.605,1428.0,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
ALL,2025,5822227,40257.95,13.179,1446.2302,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
AN,2012,362,9488.86,,0.3815,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
AN,2013,424,11070.5,17.127,0.383,RBI Table 159 personal loans; per-capita denominator from state_population_annual.csv,estimate,
