# Per-capita Net State Domestic Product at current prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 19
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_current_inr,source,quality
AN,2011-12,89100,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2012-13,98777,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2013-14,111087,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2014-15,126344,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2015-16,137064,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2016-17,153904,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2017-18,178709,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2018-19,204254,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2019-20,219653,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2020-21,205368,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2021-22,229570,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2022-23,263984,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AN,2023-24,276000,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2011-12,69000,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2012-13,74687,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2013-14,82870,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2014-15,93903,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2015-16,108002,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2016-17,120676,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2017-18,138299,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2018-19,154031,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2019-20,160341,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2020-21,168063,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2021-22,193703,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2022-23,219917,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2023-24,237951,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AP,2024-25,266240,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2011-12,73540,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2012-13,82626,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2013-14,94135,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2014-15,114789,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2015-16,116985,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2016-17,124129,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2017-18,138836,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2018-19,155103,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2019-20,182171,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2020-21,181537,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2021-22,190851,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2022-23,204469,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2023-24,217325,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AR,2024-25,246813,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2011-12,41142,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2012-13,44599,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2013-14,49734,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2014-15,52895,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2015-16,60817,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2016-17,66330,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2017-18,75151,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2018-19,81034,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2019-20,90123,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2020-21,86947,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2021-22,103371,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2022-23,121573,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2023-24,143852,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
AS,2024-25,159185,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2011-12,21750,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2012-13,24487,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2013-14,26948,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2014-15,28671,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2015-16,30404,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2016-17,34045,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2017-18,36850,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2018-19,40715,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2019-20,44175,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2020-21,42128,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2021-22,47296,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2022-23,54637,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2023-24,62201,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
BR,2024-25,69321,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2011-12,55177,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2012-13,60849,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2013-14,69880,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2014-15,72936,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
CG,2015-16,72991,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
