# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
AN,2011-12,89100,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2012-13,92644,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2013-14,98735,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2014-15,106711,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2015-16,114660,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2016-17,129532,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2017-18,145562,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2018-19,154233,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2019-20,161564,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2020-21,146995,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2021-22,160513,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2022-23,170292,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AN,2023-24,178431,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2011-12,69000,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2012-13,68865,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2013-14,72254,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2014-15,79174,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2015-16,88609,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2016-17,94115,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2017-18,103177,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2018-19,108853,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2019-20,110587,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2020-21,110971,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2021-22,118349,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2022-23,123853,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2023-24,131083,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AP,2024-25,141609,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2011-12,73540,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2012-13,73960,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2013-14,79004,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2014-15,91034,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2015-16,88768,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2016-17,91311,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2017-18,94000,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2018-19,99570,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2019-20,113081,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2020-21,105892,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2021-22,104980,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2022-23,106512,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2023-24,110766,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AR,2024-25,120943,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
AS,2011-12,41142,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
