# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
ALL,2004,179087,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2005,255981,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2006,353225,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2007,433562,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2008,485416,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2009,553546,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2010,558895,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2011,670135,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2012,750151,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2013,871291,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2014,1017100,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2015,1143986,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2016,1339138,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2017,1561924,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2018,1864885,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2019,2136648,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2020,2530090,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2021,2873641,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2022,3345818,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2023,4000056,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2024,5144286,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
ALL,2025,5822227,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2004,56,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2005,103,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2006,104,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2007,149,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2008,200,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2009,238,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2010,288,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2011,355,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2012,362,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2013,424,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2014,489,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2015,583,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2016,744,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2017,900,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2018,1095,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2019,1320,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2020,1519,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2021,1782,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2022,2078,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2023,2442,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2024,2691,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AN,2025,2975,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AP,2004,15692,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Andhra Pradesh includes Telangana through the March 2014 observation.
AP,2005,23165,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,Source Andhra Pradesh includes Telangana through the March 2014 observation.
