# State-wise length of roads (km).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 146.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,road_length_km,as_of,source,quality,geography_note
ALL,2005,2962463,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2006,3014063,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2007,3119923,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2008,3174620,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2009,3571510,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2010,3682439,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2011,3790342,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2012,3965394,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2013,4331922,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2014,4502486,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2015,4572144,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2016,4703293,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2017,4997671,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2018,5315797,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2019,5431757,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
ALL,2020,5460004,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AN,2005,1298,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AN,2006,1301,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AN,2007,1303,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AN,2008,1301,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AN,2009,1297,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AN,2010,1302,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
AN,2011,1386,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
